manufacturer,model,part #,core count,core clock,boost clock,tdp,series,microarchitecture,core family,socket,integrated graphics,maximum supported memory,ecc support,packaging,includes cpu cooler,l1 cache,l2 cache,l3 cache,lithography,simultaneous multithreading,prices,rating,reviews
amd,100-100000031box,,6,3.6 ghz,4.2 ghz,65 w,amd ryzen 5,zen 2,matisse,am4,none,128 gb,no,boxed,yes,6 x 32 kb instruction 6 x 64 kb data,6 x 512 kb,2 x 16 mb,7 nm,yes,"$189.99,$189.99,$194.13,$194.99,$199.99","(146 Ratings, 4.9 Average)","Very nice update from i5 7500 and no issues handling AAA games. Got minor issues with BIOS and temps but latest drivers fixed them,At 199.99 this CPU is a great deal. It matches the Intel i7-9700K in single threaded performance, exceeds in multi-threaded performance, and does it all with less power and almost a $150 lower price tag (at the time of this writing). Yes, one could buy the 3600x or the 3700x for even more performance, yet the Ryzen 3600 seems to be adequate for the majority of gaming workloads. ,Happiness with purchase: 9/10 - Fantastic value. Kept my build price down significantly, and does everything I need. I sometimes wonder if I should have gone with a 2700X, though that would have inflated the build price.,Mine hits 4.1924 GHz, which is spot on for a 4.2 GHz box rating. Quite a nice step up from my R5 2600.,Lives up to the hype. There isn't much else to say about it., ,
This CPU has been reviewed by many reliable sources who go further in depth than I ever could but all I can say is that this CPU can tackle gaming, editing and rendering all at good temperatures.,Great CPU, however when I overclock I get worst performance then if I leave PBO and auto overclock on,For the cost, there is absolutely nothing I can say negative about it! One of the best cost to performance processors out there today!,Ryzen 5 is alive! Without any overclocking it seems ready, willing & able to tackle whatever comes its way.,Probably the best brand new budget cpu for gaming and productivity. A huge improvement over the i5 4570. 10/10 would buy again.,The price to performance on this chip is amazing. There's a reason it's coming in on the #1 'best overall' spot on a lot of CPU 2019 round up videos/reviews around the Internet. I do a mix of gaming and design work, and it never misses a beat. Can't recommend this CPU enough."
intel,intel core i7-9700 coffee lake 8-core 3.0 ghz (4.7 ghz turbo) lga 1151 (300 series) 65w bx80684i79700 desktop processor intel uhd graphics 630,bx80684i79700,8,3 ghz,4.7 ghz,65 w,intel core i7,coffee lake refresh,coffee lake refresh,lga1151,intel hd graphics 630,128 gb,no,boxed,yes,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 12 mb,14 nm,no,"$335.99,$335.99,$393.52",(0 Ratings),
intel,,bx80684i59600kf,6,3.7 ghz,4.6 ghz,95 w,intel core i5,coffee lake refresh,coffee lake refresh,lga1151,none,128 gb,no,boxed,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 12 mb,14 nm,no,"$198.88,$198.89,$207.46,$209.99","(1 Rating, 5.0 Average)",Works as expected. I have not overclocked this yet.
intel,intel core i5-9400 coffee lake 6-core 2.9 ghz (4.10 ghz turbo) lga 1151(300 series) 65w bx80684i59400 desktop processor intel uhd graphics 630,bx80684i59400,6,2.9 ghz,4.1 ghz,65 w,intel core i5,coffee lake refresh,coffee lake refresh,lga1151,intel uhd graphics 630,128 gb,no,boxed,yes,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 9 mb,14 nm,no,"$189.99,$202.98,$204.99,$213.25","(2 Ratings, 5.0 Average)","This Cpu seemed a good deal for me - not the greatest but has a good speed, easy to use, etc. Works fine. I'm happy with it.,If priced similarly with a Ryzen 2600, get this.  It'll be noticeably faster in most real world use."
intel,,bx80673i99900x,10,3.5 ghz,4.4 ghz,165 w,intel core i9,skylake,skylake-x,lga2066,none,128 gb,no,boxed,no,10 x 32 kb instruction 10 x 32 kb data,10 x 1 mb,1 x 19.25 mb,14 nm,yes: hyper-threading,"$999.99,$1020.48","(1 Rating, 5.0 Average)","Well, it works just fine at stock speeds. No immediate plans to overclock. No complaints."
amd,5150,ad5150jah44hm,4,1.6 ghz,,25 w,amd athlon,jaguar,kabini,am1,radeon hd 8400,,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,1 x 2 mb,none,28 nm,no,,(0 Ratings),
intel,core 2 duo e8200,bx80570e8200a,2,2.66 ghz,,65 w,intel core 2 duo,core,wolfdale,lga775,none,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,1 x 6 mb,none,45 nm,no,,(0 Ratings),
amd,a4-6320,ad6320oka23hl,2,3.8 ghz,4 ghz,65 w,amd a4,piledriver,richland,fm2,radeon hd 8370d,,no,oem/tray,no,1 x 64 kb instruction 2 x 16 kb data,1 x 1 mb,none,32 nm,no,,(0 Ratings),
intel,intel xeon e5-2665 sandy bridge-ep 2.4ghz (3.1ghz turbo boost) lga 2011 115w cm8062101143101 server processor,cm8062101143101,8,2.4 ghz,3.1 ghz,115 w,intel xeon e5,sandy bridge,sandy bridge-ep,lga2011,none,,yes,oem/tray,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,32 nm,yes: hyper-threading,$306.64,(0 Ratings),
intel,core 2 duo e4300,bx80557e4300,2,1.8 ghz,,65 w,intel core 2 duo,core,conroe,lga775,none,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,1 x 2 mb,none,65 nm,no,$149.94,(0 Ratings),
intel,,cm8067702870648,4,3.8 ghz,4.2 ghz,72 w,intel xeon e3,kaby lake,kaby lake-s,lga1151,none,64 gb,yes,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,yes: hyper-threading,$361.41,(0 Ratings),
intel,,cm8067702868115,4,2.7 ghz,3.3 ghz,35 w,intel core i5,kaby lake,kaby lake-s,lga1151,intel hd graphics 630,64 gb,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,14 nm,no,$246.35,(0 Ratings),
intel,core i7-880,bv80605002505ag,4,3.06 ghz,,95 w,intel core i7,nehalem,lynnfield,lga1156,none,,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,45 nm,yes: hyper-threading,,(0 Ratings),
intel,core i3-6100t,bx80662i36100t,2,3.2 ghz,,35 w,intel core i3,skylake,skylake-s,lga1151,intel hd graphics 530,64 gb,yes,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,14 nm,yes: hyper-threading,,(0 Ratings),
intel,xeon e5-2665,bx80621e52665,8,2.4 ghz,3.1 ghz,115 w,intel xeon e5,sandy bridge,sandy bridge-ep,lga2011,none,,yes,boxed,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,32 nm,yes: hyper-threading,"$116.99,$455.08",(0 Ratings),
intel,,cm8068403874405,6,3.7 ghz,4.6 ghz,95 w,intel core i5,coffee lake refresh,coffee lake refresh,lga1151,intel uhd graphics 630,128 gb,no,oem/tray,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,6 x 1.5 mb,14 nm,no,,(0 Ratings),
